timestamp_utc,instrument_symbol,open_price,high_price,low_price,close_price,interval_traded_volume,bid_volume_level_1,ask_volume_level_1,bid_distance_level_1,ask_distance_level_1,bid_volume_level_2,ask_volume_level_2,bid_distance_level_2,ask_distance_level_2,bid_volume_level_3,ask_volume_level_3,bid_distance_level_3,ask_distance_level_3,bid_volume_level_4,ask_volume_level_4,bid_distance_level_4,ask_distance_level_4,bid_volume_level_5,ask_volume_level_5,bid_distance_level_5,ask_distance_level_5,bid_volume_level_6,ask_volume_level_6,bid_distance_level_6,ask_distance_level_6,bid_volume_level_7,ask_volume_level_7,bid_distance_level_7,ask_distance_level_7,bid_volume_level_8,ask_volume_level_8,bid_distance_level_8,ask_distance_level_8,bid_volume_level_9,ask_volume_level_9,bid_distance_level_9,ask_distance_level_9,bid_volume_level_10,ask_volume_level_10,bid_distance_level_10,ask_distance_level_10
2026-02-20T06:05:00Z,SOL-USDT,83.3455,83.3455,83.3455,83.3455,196.955,154.7,239.21,0.06,0.06,182.32,359.23,0.3,0.5399,256.78,539.19,0.4199,0.6599,385.37,564.01,0.5399,0.7799,491.68,587.7,0.6599,0.8999,566.14,693.88,0.8999,1.0199,1286.32,712.57,1.1398,1.2598,1377.85,772.58,1.2598,1.3798,1452.21,795.4,1.3798,1.6198,1653.12,807.39,1.4998,1.7397
2026-02-20T06:10:00Z,SOL-USDT,83.3595,83.3595,83.3595,83.3595,1446.105,2772.21,120.0,0.06,0.06,3067.0,122.95,0.1799,0.1799,3137.75,128.97,0.4199,0.6598,3185.8,188.97,0.5398,0.7798,3732.25,189.45,0.7798,0.8997,3898.89,191.84,0.8997,1.0197,3901.07,227.23,1.0197,1.2596,3924.49,228.06,1.1396,1.4995,4107.41,470.35,1.2596,1.7395,4568.44,568.41,1.3796,1.8594
2026-02-20T06:15:00Z,SOL-USDT,83.398,83.398,83.398,83.398,79.56,2.39,156.73,0.1199,0.1199,18.93,194.22,0.4796,0.4796,91.59,256.58,0.5995,0.5995,133.13,436.42,0.7194,0.7194,214.33,1634.86,0.8393,0.8393,215.06,2072.49,0.9593,0.9593,253.6,2134.33,1.0792,1.0792,272.25,2160.15,1.319,1.319,316.83,2208.95,1.4389,1.4389,360.21,2268.92,1.5588,1.6787
2026-02-20T06:20:00Z,SOL-USDT,83.1305,83.1305,83.1305,83.1305,734.815,481.18,988.45,0.0601,0.0601,493.17,994.46,0.421,0.421,682.69,1038.42,0.5413,0.5413,717.68,1098.58,0.6616,0.6616,851.29,1160.16,0.7819,0.7819,899.39,1163.77,0.9022,0.9022,1089.41,1202.75,1.0225,1.1428,1121.93,1239.52,1.1428,1.2631,1749.6,1262.02,1.2631,1.3834,2138.53,1694.32,1.3834,1.5037
2026-02-20T06:25:00Z,SOL-USDT,83.1955,83.1955,83.1955,83.1955,503.445,870.53,136.36,0.0601,0.0601,928.12,196.48,0.1803,0.1803,942.94,219.18,0.4207,0.4207,969.2,231.19,0.5409,0.5409,1009.51,275.29,0.6611,0.6611,1035.47,339.93,0.7813,1.0217,1284.64,628.43,0.9015,1.1419,1324.95,692.19,1.0217,1.2621,2405.74,730.29,1.1419,1.5025,2518.15,775.28,1.2621,1.6227
2026-02-20T06:30:00Z,SOL-USDT,83.5095,83.5095,83.5095,83.5095,402.84,157.07,648.61,0.0599,0.0599,172.09,1132.38,0.2994,0.1796,231.99,1172.83,0.5389,0.4191,298.85,1323.89,0.6586,0.7784,341.35,1434.95,0.7784,1.0178,456.38,1496.09,0.8981,1.1376,590.56,1584.66,1.0178,1.2573,838.83,1644.55,1.1376,1.3771,1557.63,1645.56,1.2573,1.4968,1629.98,1760.74,1.3771,1.6166
2026-02-20T06:35:00Z,SOL-USDT,83.4775,83.4775,83.4775,83.4775,231.285,452.34,10.23,0.0599,0.0599,1039.35,10.36,0.1797,0.2995,1100.92,16.36,0.2995,1.737,1195.37,16.84,0.4193,1.9766,3398.37,57.92,0.5391,2.4558,5583.68,72.82,0.6589,2.6953,7894.82,156.66,0.7787,2.8151,10206.02,198.62,0.8984,2.9349,12896.67,240.45,1.0182,3.2943,17355.8,420.07,1.138,3.4141
2026-02-20T06:40:00Z,SOL-USDT,83.3995,83.3995,83.3995,83.3995,1216.895,2336.09,97.7,0.06,0.06,2362.31,100.28,0.1799,0.1799,2480.12,556.0,0.4197,0.5396,2505.54,579.33,0.5396,0.8993,2824.91,617.67,0.8993,1.0192,2856.22,753.43,1.0192,1.1391,3360.82,801.55,1.1391,1.259,3773.56,828.05,1.259,1.3789,3888.74,915.2,1.3789,1.4988,3973.12,953.54,1.4988,1.8585
2026-02-20T06:45:00Z,SOL-USDT,83.5505,83.5505,83.5505,83.5505,400.555,790.23,10.88,0.0598,0.0598,819.61,102.49,0.1795,0.8977,859.94,103.32,0.2992,1.137,900.27,134.24,0.4189,1.2567,940.6,370.95,0.778,1.3764,967.29,420.43,0.8977,1.4961,991.26,476.54,1.137,1.6158,1197.49,497.82,1.2567,1.8552,1237.82,557.67,1.3764,1.9749,1439.72,559.7,1.4961,2.0945
2026-02-20T06:50:00Z,SOL-USDT,83.5865,83.5865,83.5865,83.5865,549.42,721.81,377.03,0.0598,0.0598,785.96,436.87,0.1795,0.658,788.13,460.23,0.2991,1.0169,812.6,492.62,0.4187,1.3758,903.14,672.05,0.5384,1.4955,941.57,756.65,0.658,1.6151,974.41,816.74,0.8973,1.7347,1016.17,1237.91,1.0169,1.8544,1028.43,1297.74,1.1365,1.974,1209.02,1328.2,1.2562,2.0936
